,city,date,district,building state,main use,total floor number
25414,桃園市,2014-01-11,桃園區,住宅大樓(11層含以上有電梯),住家用,22
16824,新北市,2014-01-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15660,新北市,2014-01-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15657,新北市,2014-01-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
13083,新北市,2014-01-13,淡水區,住宅大樓(11層含以上有電梯),住家用,29
3734,台北市,2014-01-15,士林區,其他,,0
7711,新北市,2014-01-16,淡水區,住宅大樓(11層含以上有電梯),住家用,24
25408,桃園市,2014-01-17,桃園區,住宅大樓(11層含以上有電梯),住家用,22
6451,新北市,2014-01-18,淡水區,住宅大樓(11層含以上有電梯),住家用,24
25409,桃園市,2014-01-18,桃園區,住宅大樓(11層含以上有電梯),住家用,22
26500,桃園市,2014-01-20,桃園區,住宅大樓(11層含以上有電梯),住家用,22
10172,新北市,2014-01-20,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7713,新北市,2014-01-20,淡水區,住宅大樓(11層含以上有電梯),住家用,29
25622,桃園市,2014-01-21,桃園區,住宅大樓(11層含以上有電梯),住家用,22
6453,新北市,2014-01-24,淡水區,住宅大樓(11層含以上有電梯),住家用,29
25413,桃園市,2014-01-25,桃園區,住宅大樓(11層含以上有電梯),住家用,22
25623,桃園市,2014-01-25,桃園區,住宅大樓(11層含以上有電梯),住家用,22
8480,新北市,2014-01-25,淡水區,住宅大樓(11層含以上有電梯),住家用,29
19476,桃園市,2014-01-27,龜山區,其他,,0
19440,桃園市,2014-01-27,龜山區,其他,,0
8649,新北市,2014-01-28,永和區,其他,,0
6614,新北市,2014-01-28,淡水區,住宅大樓(11層含以上有電梯),住家用,24
20216,桃園市,2014-01-28,龜山區,其他,,0
6610,新北市,2014-01-28,淡水區,住宅大樓(11層含以上有電梯),住家用,24
16821,新北市,2014-01-31,淡水區,住宅大樓(11層含以上有電梯),住家用,29
21350,桃園市,2014-02-03,中壢區,住宅大樓(11層含以上有電梯),見其他登記事項,22
19441,桃園市,2014-02-08,龜山區,其他,,0
8797,新北市,2014-02-10,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8805,新北市,2014-02-10,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10171,新北市,2014-02-10,淡水區,住宅大樓(11層含以上有電梯),住家用,29
24442,桃園市,2014-02-11,龜山區,其他,,0
10896,新北市,2014-02-14,淡水區,住宅大樓(11層含以上有電梯),住家用,24
18777,桃園市,2014-02-14,龜山區,其他,,0
26503,桃園市,2014-02-15,桃園區,住宅大樓(11層含以上有電梯),住家用,22
13481,新北市,2014-02-15,淡水區,住宅大樓(11層含以上有電梯),住家用,24
10888,新北市,2014-02-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
22416,桃園市,2014-02-20,龜山區,其他,,0
26603,桃園市,2014-02-20,龜山區,其他,,0
24443,桃園市,2014-02-20,龜山區,其他,,0
25189,桃園市,2014-02-28,龜山區,其他,,0
32680,台中市,2014-03-02,龍井區,其他,,0
26499,桃園市,2014-03-03,桃園區,住宅大樓(11層含以上有電梯),住家用,22
44024,高雄市,2014-03-07,鳳山區,其他,,0
6256,新北市,2014-03-08,淡水區,住宅大樓(11層含以上有電梯),住家用,24
7500,新北市,2014-03-09,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9423,新北市,2014-03-10,淡水區,住宅大樓(11層含以上有電梯),住家用,24
16818,新北市,2014-03-12,淡水區,住宅大樓(11層含以上有電梯),住家用,29
25242,桃園市,2014-03-13,桃園區,住宅大樓(11層含以上有電梯),住家用,17
6446,新北市,2014-03-14,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8801,新北市,2014-03-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7714,新北市,2014-03-15,淡水區,住宅大樓(11層含以上有電梯),住家用,29
6450,新北市,2014-03-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
8798,新北市,2014-03-16,淡水區,住宅大樓(11層含以上有電梯),住家用,29
17573,新北市,2014-03-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12692,新北市,2014-03-25,淡水區,住宅大樓(11層含以上有電梯),住家用,24
7305,新北市,2014-03-25,淡水區,住宅大樓(11層含以上有電梯),住家用,29
32684,台中市,2014-03-26,東勢區,其他,,0
17278,新北市,2014-03-28,淡水區,住宅大樓(11層含以上有電梯),住家用,29
25410,桃園市,2014-03-29,桃園區,住宅大樓(11層含以上有電梯),住家用,22
7304,新北市,2014-03-30,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10710,新北市,2014-03-30,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7303,新北市,2014-03-30,淡水區,住宅大樓(11層含以上有電梯),住家用,29
25415,桃園市,2014-03-31,桃園區,住宅大樓(11層含以上有電梯),住家用,22
8616,新北市,2014-03-31,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10905,新北市,2014-03-31,淡水區,住宅大樓(11層含以上有電梯),住家用,20
22063,桃園市,2014-04-01,龜山區,其他,,0
26415,桃園市,2014-04-02,龜山區,其他,,0
25407,桃園市,2014-04-04,桃園區,住宅大樓(11層含以上有電梯),住家用,22
7308,新北市,2014-04-06,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10916,新北市,2014-04-08,淡水區,住宅大樓(11層含以上有電梯),住家用,29
22417,桃園市,2014-04-09,龜山區,其他,,0
15651,新北市,2014-04-11,淡水區,住宅大樓(11層含以上有電梯),住家用,29
10917,新北市,2014-04-18,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14297,新北市,2014-04-21,淡水區,住宅大樓(11層含以上有電梯),住家用,29
22836,桃園市,2014-04-21,中壢區,華廈(10層含以下有電梯),住家用,6
16868,新北市,2014-04-22,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
11742,新北市,2014-04-22,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
18450,新北市,2014-04-25,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7056,新北市,2014-04-27,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
12224,新北市,2014-04-29,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7052,新北市,2014-04-29,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
9249,新北市,2014-04-29,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
12223,新北市,2014-04-29,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7059,新北市,2014-04-30,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
16820,新北市,2014-05-03,淡水區,住宅大樓(11層含以上有電梯),住家用,24
16869,新北市,2014-05-04,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
15650,新北市,2014-05-04,淡水區,住宅大樓(11層含以上有電梯),住家用,29
15649,新北市,2014-05-04,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9784,新北市,2014-05-04,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11744,新北市,2014-05-05,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
13476,新北市,2014-05-12,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7499,新北市,2014-05-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14059,新北市,2014-05-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
14058,新北市,2014-05-19,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12520,新北市,2014-05-20,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
7054,新北市,2014-05-20,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
13433,新北市,2014-05-20,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
7058,新北市,2014-05-30,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
16073,新北市,2014-06-02,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
8615,新北市,2014-06-03,淡水區,住宅大樓(11層含以上有電梯),住家用,29
6565,新北市,2014-06-05,新莊區,其他,,0
41654,高雄市,2014-06-07,橋頭區,住宅大樓(11層含以上有電梯),見其他登記事項,24
7798,新北市,2014-06-12,新莊區,其他,見其他登記事項,24
11747,新北市,2014-06-15,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
16074,新北市,2014-06-18,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
16075,新北市,2014-06-18,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
16076,新北市,2014-06-23,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
20177,桃園市,2014-06-30,中壢區,住宅大樓(11層含以上有電梯),見其他登記事項,21
11741,新北市,2014-06-30,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
7057,新北市,2014-07-15,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
17782,新北市,2014-07-17,淡水區,住宅大樓(11層含以上有電梯),住家用,24
7357,新北市,2014-07-22,新莊區,住宅大樓(11層含以上有電梯),見其他登記事項,22
13815,新北市,2014-07-25,新莊區,住宅大樓(11層含以上有電梯),見其他登記事項,22
13814,新北市,2014-07-25,新莊區,住宅大樓(11層含以上有電梯),見其他登記事項,22
18153,新北市,2014-07-26,新莊區,住宅大樓(11層含以上有電梯),見其他登記事項,22
36807,台中市,2014-07-29,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
8800,新北市,2014-08-01,淡水區,住宅大樓(11層含以上有電梯),住家用,29
36801,台中市,2014-08-02,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
36464,台中市,2014-08-08,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
36905,台中市,2014-08-08,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
16867,新北市,2014-08-21,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
17912,新北市,2014-08-23,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,14
36476,台中市,2014-08-23,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
36456,台中市,2014-08-25,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
7047,新北市,2014-08-25,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
7050,新北市,2014-08-26,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
37225,台中市,2014-09-04,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
6207,新北市,2014-09-09,板橋區,店面(店鋪),見其他登記事項,23
16072,新北市,2014-09-10,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
36469,台中市,2014-09-13,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
7046,新北市,2014-09-15,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
11743,新北市,2014-09-16,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
28325,台中市,2014-09-30,神岡區,農舍,農舍,1
37224,台中市,2014-09-30,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
36468,台中市,2014-09-30,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
25411,桃園市,2014-10-02,桃園區,住宅大樓(11層含以上有電梯),住家用,22
6105,新北市,2014-10-04,新莊區,住宅大樓(11層含以上有電梯),見其他登記事項,22
36809,台中市,2014-10-11,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
37243,台中市,2014-10-14,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
11745,新北市,2014-10-14,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
37226,台中市,2014-10-15,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
7055,新北市,2014-10-18,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
37236,台中市,2014-10-20,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
36815,台中市,2014-10-28,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
15567,新北市,2014-10-30,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,14
12643,新北市,2014-10-31,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,14
15571,新北市,2014-10-31,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,14
15570,新北市,2014-11-01,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,14
37228,台中市,2014-11-02,大里區,住宅大樓(11層含以上有電梯),見其他登記事項,23
7049,新北市,2014-11-06,林口區,住宅大樓(11層含以上有電梯),見其他登記事項,36
